,Name,Place,Season,Predicted,Predicted,Predicted,Predicted,Predicted,mean,PredPlace
Model,,,,GNB,NN,RFC,RFR,SVC,,
,,,,,,,,,,
0,Aja,9.0,9,11,11,7,9,9,9.4,9
1,Alexis Michelle,0.0,9,1,5,7,6,6,5.0,6
2,Charlie Hides,12.0,9,7,14,14,14,14,12.6,14
3,Cynthia Lee Fontaine,10.0,9,8,11,11,10,11,10.2,11
4,Eureka,11.0,9,11,9,12,12,11,11.0,12
5,Farrah Moan,8.0,9,10,5,6,8,8,7.4,8
6,Jaymes Mansfield,14.0,9,11,9,12,13,11,11.2,13
7,Kimora Blac,13.0,9,11,11,7,11,9,9.8,10
8,Nina Bo'Nina Brown,0.0,9,8,4,5,4,5,5.2,7
9,Peppermint,0.0,9,1,5,7,5,6,4.8,5
10,Sasha Velour,0.0,9,1,1,2,2,2,1.6,2
11,Shea Coulee,0.0,9,1,1,2,1,1,1.2,1
12,Trinity Taylor,0.0,9,1,1,4,3,4,2.6,3
13,Valentina,7.0,9,1,5,1,7,2,3.2,4
