Name,Place,Season,GNB,NN,RFC,RFR,SVC
Akashia,7,1,6,5,5,5,5
Bebe Zahara Benet,1,1,1,1,1,2,1
Jade,6,1,6,7,6,6,7
Nina Flowers,2,1,3,3,4,4,2
Ongina,5,1,1,1,1,1,2
Rebecca Glasscock,3,1,4,4,3,3,4
Shannel,4,1,5,5,7,7,5
Tammie Brown,8,1,6,9,8,8,8
"Victora ""Porkchop"" Parker",9,1,9,8,9,9,9
Jessica Wild,6,2,2,7,2,4,2
Jujubee,3,2,3,4,7,5,6
Morgan McMichaels,8,2,3,11,9,6,8
Mystique,10,2,9,8,11,9,8
Nicole Paige Brooks,11,2,12,11,12,12,12
Pandora Boxx,5,2,3,4,1,8,5
Raven,2,2,3,2,5,2,2
Sahara Davenport,7,2,3,2,7,7,7
Shangela-2,12,2,10,10,9,11,11
Sonique,9,2,10,8,6,10,8
Tatianna,4,2,3,6,4,3,4
Tyra Sanchez,1,2,1,1,2,1,1
Alexis Mateo,3,3,4,5,3,3,3
Carmen Carrera,5,3,6,7,6,7,7
Delta Work,7,3,8,9,7,10,8
India Ferrah,10,3,11,10,13,13,10
Manila Luzon,2,3,1,1,1,1,1
Mariah,9,3,6,8,10,9,6
Mimi Imfurst,11,3,8,10,9,8,11
Phoenix,12,3,11,10,11,12,11
Raja,1,3,1,4,1,2,2
Shangela-3,6,3,3,5,5,4,3
Stacy Layne Matthews,8,3,8,2,7,6,8
Venus D-Lite,13,3,11,10,11,11,11
Yara Sofia,4,3,4,2,4,5,5
Alisa Summers,13,4,12,12,8,13,9
Chad Michaels,2,4,1,2,1,2,3
DiDa Ritz,6,4,12,8,8,10,5
Jiggy Caliente,8,4,10,4,5,8,5
Kenya Michaels,5,4,4,3,13,9,5
Lashauwn Beyond,12,4,5,12,8,12,9
Latrice Royale,4,4,9,4,4,4,3
Madame LaQueer,10,4,11,8,8,6,9
Milan,9,4,5,10,5,7,5
Phi Phi O'Hara,3,4,1,4,2,3,2
Sharon Needles,1,4,1,1,2,1,1
The Princess,11,4,5,10,8,11,13
Willam,7,4,5,7,7,5,9
Alaska,2,5,1,2,2,1,3
Alyssa Edwards,6,5,7,3,7,7,6
Coco Montrese,5,5,8,7,8,8,5
Detox,4,5,5,3,5,4,6
Honey Mahogany,10,5,10,14,14,13,11
Ivy Winters,7,5,1,5,2,5,3
Jade Jolie,8,5,14,9,8,10,8
Jinkx Monsoon,1,5,1,1,1,3,1
Lineysha Sparx,9,5,5,8,6,6,10
Monica Beverly Hillz,12,5,10,11,12,11,11
Penny Traition,14,5,9,11,8,14,11
Roxxxy Andrews,3,5,1,5,2,2,1
Serena ChaCha,13,5,10,13,12,12,11
Vivienne Pinay,11,5,10,9,8,9,8
Adore Delano,2,6,1,1,3,2,3
April Carrion,11,6,5,9,9,10,9
BenDeLaCreme,5,6,1,4,5,4,4
Bianca Del Rio,1,6,1,1,1,1,1
Courtney Act,3,6,1,3,1,3,1
Darienne Lake,4,6,7,4,4,5,4
Gia Gunn,10,6,12,9,14,13,9
Joslyn Fox,6,6,7,4,5,6,7
Kelly Mantle,14,6,14,14,11,11,12
Laganja Estranja,8,6,5,9,8,7,9
Magnolia Crawford,13,6,12,13,11,14,12
Milk,9,6,10,8,10,9,6
Trinity K. Bonet,7,6,9,7,5,8,8
Vivacious,12,6,10,12,11,12,12
Ginger Minj,2,7,8,1,1,2,2
Jaidynn Diore Fierce,8,7,8,6,8,9,6
Jasmine Masters,12,7,11,10,13,11,10
Kandy Ho,10,7,6,10,11,8,10
Katya,5,7,1,4,3,3,2
Kennedy Davenport,4,7,1,4,3,5,2
Max,9,7,1,9,1,3,9
Miss Fame,7,7,6,8,6,10,5
Mrs. Kasha Davis,11,7,13,13,8,13,10
Pearl,3,7,1,3,6,6,6
Sasha Belle,13,7,11,10,11,12,10
Tempest DuJour,14,7,13,14,13,14,10
Trixie Mattel,6,7,8,7,8,7,6
Voilet Chachki,1,7,1,1,3,1,1
Acid Betty,8,8,8,9,9,8,9
Bob the Drag Queen,1,8,1,1,1,2,1
Chi Chi DeVayne,4,8,5,4,3,4,5
Cynthia Lee Fontaine,10,8,8,11,12,11,11
Dax ExclamationPoint,11,8,12,12,10,12,11
Derrick Barry,5,8,4,4,4,3,4
Kim Chi,2,8,1,1,2,1,1
Laila McQueen,11,8,11,8,10,9,7
Naomi Smalls,3,8,1,3,7,6,3
Naysha Lopez,9,8,8,9,8,10,7
Robbie Turner,7,8,5,4,4,5,5
Thorgy Thor,6,8,7,4,6,7,9
