,Name,Place,Season,Predicted,Predicted,Predicted,Predicted,Predicted,mean,PredPlace
Model,,,,GNB,NN,RFC,RFR,SVC,,
0,Aquaria,0.0,10,1,7,1,3,1,2.6,2
1,Asia O'Hara,0.0,10,3,3,3,1,3,2.6,2
2,Blair St. Clair,9.0,10,3,9,9,9,11,8.2,9
3,Dusty Ray Bottoms,11.0,10,9,9,11,11,11,10.2,11
4,Eureka O'Hara,0.0,10,2,1,2,2,1,1.6,1
5,Kalorie Karbdashian-Williams,13.0,10,14,9,14,13,10,12.0,13
6,Kameron Michaels,0.0,10,3,3,6,6,5,4.6,5
7,Mayhem Miller,10.0,10,3,1,5,4,4,3.4,4
8,Miz Cracker,0.0,10,3,3,6,7,5,4.8,6
9,Monet X Change,0.0,10,3,9,8,8,9,7.4,8
10,Monique Heart,8.0,10,9,8,12,10,7,9.2,10
11,The Vixen,0.0,10,9,3,3,5,7,5.4,7
12,Vanessa Vanjie Mateo,14.0,10,9,13,13,14,11,12.0,13
13,Yuhua Hamasaki,12.0,10,9,13,9,12,14,11.4,12
