Season,ID,Name,filename,Age,PuertoRico,Black,White,POC,PlusSize,Place,Wins,Highs,Lows,Lipsyncs,Comedy,Pageant ,SnatchGameWin,Party Princess,Purity Princess,Draggity Princess,Blackout Princess,Cookie Princess,Bartender Princess,PrincessPoints
1,1,Bebe Zahara Benet,,28,0,1,0,0,0,1,2,1,,1,,,,,,,,,,
1,2,Nina Flowers,,34,1,0,0,1,0,2,1,4,,,,,,,,,,,,
1,3,Rebecca Glasscock,,26,1,0,0,1,0,3,1,1,1,2,,,,,,,,,,
1,4,Shannel,,29,0,0,1,0,0,4,,2,,2,,,,,,,,,,
1,5,Ongina,,26,0,0,0,1,0,5,2,2,,1,,,,,,,,,,
1,6,Jade,,25,0,0,0,1,0,6,,,1,1,,,,,,,,,,
1,7,Akashia,,24,0,1,0,0,0,7,,,,3,,,,,,,,,,
1,8,Tammie Brown,,26,0,0,1,0,0,8,,,,1,1,,,,,,,,,
1,9,"Victora ""Porkchop"" Parker",,39,0,0,1,0,1,9,,,,1,,1,,,,,,,,
2,10,Tyra Sanchez,,21,0,1,0,0,0,1,3,3,1,,,,,,,,,,,
2,11,Raven,,30,0,0,1,0,0,2,2,3,,2,,,,,,,,,,
2,12,Jujubee,,25,0,0,0,1,0,3,,3,1,3,,,,,,,,,,
2,13,Tatianna,,21,0,1,0,0,0,4,1,1,2,2,,,1,,,,,,,
2,14,Pandora Boxx,,37,0,0,1,0,0,5,,4,1,1,1,,,,,,,,,
2,15,Jessica Wild,,29,1,0,0,1,0,6,1,3,,1,,,,,,,,,,
2,16,Sahara Davenport,,25,0,1,0,0,0,7,1,,,3,,,,,,,,,,
2,17,Morgan McMichaels,,28,0,0,1,0,0,8,1,,,2,,,,,,,,,,
2,18,Sonique,,26,0,0,1,0,0,9,,,1,1,,,,,,,,,,
2,19,Mystique,,25,0,1,0,0,1,10,,1,1,1,,,,,,,,,,
2,20,Nicole Paige Brooks,,36,0,0,1,0,0,11,,,,1,,,,,,,,,,
2,21,Shangela-2,,28,0,1,0,0,0,12,,,,1,,,,,,,,,,
3,22,Raja,,36,0,0,0,1,0,1,3,4,1,1,,,,,,,,,,
3,23,Manila Luzon,,25,0,0,0,1,0,2,3,4,1,1,,,,,,,,,,
3,24,Alexis Mateo,,30,1,0,0,1,0,3,3,2,2,3,,,,,,,,,,
3,25,Yara Sofia,,26,1,0,0,1,0,4,1,6,1,2,,,,,,,,,,
3,26,Carmen Carrera,,25,0,0,0,1,0,5,,1,3,3,,,,,,,,,,
3,27,Shangela-3,,29,0,1,0,0,0,6,2,1,1,3,,,,,,,,,,
3,28,Delta Work,,34,0,0,1,0,1,7,,1,,3,1,,,,,,,,,
3,29,Stacy Layne Matthews,,25,0,0,0,1,1,8,1,2,,2,,,1,,,,,,,
3,30,Mariah,,29,0,1,0,0,0,9,,1,2,1,,,,,,,,,,
3,31,India Ferrah,,23,0,0,1,0,0,10,,,,2,,,,,,,,,,
3,32,Mimi Imfurst,,27,0,0,1,0,1,11,,2,,1,1,,,,,,,,,
3,33,Phoenix,,29,0,0,1,0,0,12,,,,1,,,,,,,,,,
3,34,Venus D-Lite,,26,0,0,1,0,0,13,,,,1,,,,,,,,,,
4,35,Sharon Needles,,29,0,0,1,0,0,1,4,3,1,1,1,,,,,,,,,
4,36,Chad Michaels,,40,0,0,1,0,0,2,2,4,,1,,,1,,,,,,,
4,37,Phi Phi O'Hara,,25,0,0,0,1,0,3,2,3,2,1,,,,,,,,,,
