,Name,Place,Season,Predicted,Predicted,Predicted,Predicted,Predicted,Mean,PredPlace
Model,,,,GNB,NN,RFC,RFR,SVC,,
2,Charlie Hides,0.0,9,5,1,1,7,1,3.4285714285714284,1
4,Eureka,0.0,9,5,6,2,5,3,4.285714285714286,2
9,Peppermint,0.0,9,2,3,8,8,3,4.714285714285714,3
12,Trinity Taylor,0.0,9,1,6,4,12,2,4.857142857142857,4
1,Alexis Michelle,0.0,9,2,3,8,10,3,5.0,5
5,Farrah Moan,0.0,9,5,9,5,2,7,5.285714285714286,6
13,Valentina,0.0,9,5,9,5,3,7,5.428571428571429,7
6,Jaymes Mansfield,14.0,9,5,1,2,1,7,5.571428571428571,8
11,Shea Coulee,0.0,9,5,9,5,4,7,5.571428571428571,8
7,Kimora Blac,0.0,9,5,5,11,6,7,6.142857142857143,10
3,Cynthia Lee Fontaine,0.0,9,4,6,10,14,6,7.0,11
0,Aja,0.0,9,5,9,11,9,7,7.142857142857143,12
10,Sasha Velour,0.0,9,5,9,11,11,7,7.428571428571429,13
8,Nina Bo'Nina Brown,0.0,9,5,9,11,13,7,7.714285714285714,14
