id,name,season,first.air.date,last.air.date
1,RuPaul's Drag Race,1,2009-02-02,2009-03-23
2,RuPaul's Drag Race,2,2010-02-01,2010-04-26
3,RuPaul's Drag Race,3,2011-01-24,2011-05-02
4,RuPaul's Drag Race,4,2012-01-30,2012-04-30
5,RuPaul's Drag Race,5,2013-01-28,2013-05-06
6,RuPaul's Drag Race,6,2014-02-24,2014-05-19
7,RuPaul's Drag Race,7,2015-03-02,2015-06-01
8,RuPaul's Drag Race,8,2016-03-07,2016-05-16
9,RuPaul's Drag Race,9,2017-03-24,2017-06-23
10,RuPaul's Drag Race,10,2018-03-22,2018-06-28
11,RuPaul's Drag Race,11,2019-02-28,2019-05-30
12,RuPaul's Drag Race,12,2020-02-28,2020-05-29
13,RuPaul's Drag Race,13,2021-01-01,2021-04-23
14,RuPaul's Drag Race,14,2022-01-07,2022-04-22
15,RuPaul's Drag Race All Stars,1,2012-10-22,2012-11-26
16,RuPaul's Drag Race All Stars,2,2016-08-25,2016-10-27
17,RuPaul's Drag Race All Stars,3,2018-01-25,2018-03-15
18,RuPaul's Drag Race All Stars,4,2018-12-14,2019-02-15
19,RuPaul's Drag Race All Stars,5,2020-06-05,2020-07-24
20,RuPaul's Drag Race All Stars,6,2021-06-24,2021-09-02
21,RuPaul's Drag Race All Stars,7,2022-05-20,2022-07-29
22,RuPaul's Drag Race Down Under,1,2021-05-01,2021-06-19
23,RuPaul's Drag Race Down Under,2,2022-07-30,2022-09-17
24,Canada's Drag Race,1,2020-07-02,2020-09-03
25,Canada's Drag Race,2,2021-10-14,2021-12-16
26,Drag Race France,1,2022-06-25,2022-08-11
27,RuPaul's Drag Race: UK vs the World,1,2022-02-01,2022-03-08
28,Drag Race Italia,1,2021-11-18,2021-12-23
29,Drag Race Holland,1,2020-09-18,2020-11-06
30,Drag Race Holland,2,2021-08-06,2021-09-24
31,Drag Race Espana,1,2021-05-30,2021-07-25
32,Drag Race Espana,2,2022-03-27,2022-06-05
33,Drag Race Thailand,1,2018-02-15,2018-04-05
34,Drag Race Thailand,2,2019-01-11,2019-04-05
35,RuPaul's Drag Race UK,1,2019-10-03,2019-11-21
36,RuPaul's Drag Race UK,2,2021-01-14,2021-03-18
37,RuPaul's Drag Race UK,3,2021-09-23,2021-11-25
