Season,ID,Name,Age,PuertoRico,PlusSize,Place,Start,End,Out,Wins,Highs,Lows,Lipsyncs,Comedy,Pageant ,SnatchGameWin
1,1,Bebe Zahara Benet,28,0,0,1,0,1,0,,,,,,,
1,1,Bebe Zahara Benet,28,0,0,1,1,2,0,,,,,,,
1,1,Bebe Zahara Benet,28,0,0,1,2,3,0,1,,,,,,
1,1,Bebe Zahara Benet,28,0,0,1,3,4,0,1,1,,,,,
1,1,Bebe Zahara Benet,28,0,0,1,4,5,0,1,1,,1,,,
1,1,Bebe Zahara Benet,28,0,0,1,5,6,0,2,1,,1,,,
1,1,Bebe Zahara Benet,28,0,0,1,6,7,0,2,1,,1,,,
1,2,Nina Flowers,34,1,0,2,0,1,0,1,,,,,,
1,2,Nina Flowers,34,1,0,2,1,2,0,1,1,,,,,
1,2,Nina Flowers,34,1,0,2,2,3,0,1,2,,,,,
1,2,Nina Flowers,34,1,0,2,3,4,0,1,3,,,,,
1,2,Nina Flowers,34,1,0,2,4,5,0,1,3,,,,,
1,2,Nina Flowers,34,1,0,2,5,6,0,1,4,,,,,
1,2,Nina Flowers,34,1,0,2,6,7,1,1,4,,,,,
1,3,Rebecca Glasscock,26,0,0,3,0,1,0,,,1,,,,
1,3,Rebecca Glasscock,26,0,0,3,1,2,0,,1,1,,,,
1,3,Rebecca Glasscock,26,0,0,3,2,3,0,,1,1,,,,
1,3,Rebecca Glasscock,26,0,0,3,3,4,0,,1,1,1,,,
1,3,Rebecca Glasscock,26,0,0,3,4,5,0,1,1,1,1,,,
1,3,Rebecca Glasscock,26,0,0,3,5,6,0,1,1,1,2,,,
1,3,Rebecca Glasscock,26,0,0,3,6,7,1,1,1,1,2,,,
1,4,Shannel,29,0,0,4,0,1,0,,,,,,,
1,4,Shannel,29,0,0,4,1,2,0,,1,,,,,
1,4,Shannel,29,0,0,4,2,3,0,,1,,1,,,
1,4,Shannel,29,0,0,4,3,4,0,,1,,1,,,
1,4,Shannel,29,0,0,4,4,5,0,,2,,1,,,
1,4,Shannel,29,0,0,4,5,6,1,,2,,2,,,
1,5,Ongina,26,0,0,5,0,1,0,,1,,,,,
1,5,Ongina,26,0,0,5,1,2,0,1,1,,,,,
1,5,Ongina,26,0,0,5,2,3,0,1,2,,,,,
1,5,Ongina,26,0,0,5,3,4,0,2,2,,,,,
1,5,Ongina,26,0,0,5,4,5,1,2,2,,1,,,
1,6,Jade,25,0,0,6,0,1,0,,,,,,,
1,6,Jade,25,0,0,6,1,2,0,,,,,,,
1,6,Jade,25,0,0,6,2,3,0,,,1,,,,
1,6,Jade,25,0,0,6,3,4,1,,,1,1,,,
1,7,Akashia,24,0,0,7,0,1,0,,,,1,,,
1,7,Akashia,24,0,0,7,1,2,0,,,,2,,,
1,7,Akashia,24,0,0,7,2,3,1,,,,3,,,
1,8,Tammie Brown,26,0,0,8,0,1,0,,,,,1,,
1,8,Tammie Brown,26,0,0,8,1,2,0,,,,1,1,,
1,9,"Victora ""Porkchop"" Parker",39,0,1,9,0,1,1,,,,1,,1,
2,10,Tyra Sanchez,21,0,0,1,0,1,0,,1,,,,,
2,10,Tyra Sanchez,21,0,0,1,1,2,0,,2,,,,,
2,10,Tyra Sanchez,21,0,0,1,2,3,0,1,2,,,,,
2,10,Tyra Sanchez,21,0,0,1,3,4,0,1,2,,,,,
2,10,Tyra Sanchez,21,0,0,1,4,5,0,2,2,,,,,
2,10,Tyra Sanchez,21,0,0,1,5,6,0,2,2,1,,,,
2,10,Tyra Sanchez,21,0,0,1,6,7,0,2,2,1,,,,
2,10,Tyra Sanchez,21,0,0,1,7,8,0,2,3,1,,,,
2,10,Tyra Sanchez,21,0,0,1,8,9,0,3,3,1,,,,
2,10,Tyra Sanchez,21,0,0,1,9,10,0,3,3,1,,,,
2,11,Raven,30,0,0,2,0,1,0,,,,,,,
2,11,Raven,30,0,0,2,1,2,0,,,,1,,,
