,Name,Place,Season,Predicted,Predicted,Predicted,Predicted,Predicted,Mean,PredPlace
Model,,,,GNB,NN,RFC,RFR,SVC,,
2,Charlie Hides,0.0,9,3,1,1,7,1,3.142857142857143,1
4,Farrah Moan,0.0,9,3,3,5,2,2,3.4285714285714284,2
5,Jaymes Mansfield,0.0,9,3,1,2,1,9,3.5714285714285716,3
3,Eureka,0.0,9,3,7,2,5,3,4.142857142857143,4
10,Shea Coulee,0.0,9,3,4,5,4,6,4.428571428571429,5
11,Trinity Taylor,0.0,9,1,7,4,12,3,5.142857142857143,6
6,Kimora Blac,0.0,9,3,6,10,6,3,5.285714285714286,7
12,Valentina,0.0,9,3,10,5,3,9,5.571428571428571,8
1,Alexis Michelle,0.0,9,2,5,8,10,7,5.857142857142857,9
8,Peppermint,0.0,9,3,7,8,8,7,6.0,10
0,Aja,0.0,9,3,10,10,9,9,7.142857142857143,11
9,Sasha Velour,0.0,9,3,10,10,11,9,7.428571428571429,12
7,Nina Bo'Nina Brown,0.0,9,3,10,10,13,9,7.714285714285714,13
